id,censored,time,how_end,sex,race,age,education,parent
3874,TRUE,15.75,Censored,Female,White or Other,25,High school,FALSE
3878,TRUE,8.916666666666666,Censored,Male,Black,32.25,High school,TRUE
3879,TRUE,14.25,Censored,Female,Black,26.166666666666668,High school,TRUE
3880,FALSE,8.5,Legally Separated,Male,Black,24.5,High school,TRUE
3881,TRUE,17,Censored,Male,White or Other,24.916666666666668,High school,FALSE
3882,FALSE,14.416666666666666,Legally Separated,Male,White or Other,20.5,Less than high school,FALSE
3883,TRUE,8.833333333333334,Censored,Female,White or Other,33.25,High school,FALSE
3886,FALSE,1.5,Legally Separated,Male,Black,35.416666666666664,Less than high school,FALSE
3887,TRUE,7.75,Censored,Female,Black,34,College,FALSE
3890,FALSE,6,Legally Separated,Female,Hispanic,26,High school,TRUE
3891,FALSE,8.416666666666666,Divorced,Female,Hispanic,23.916666666666668,High school,FALSE
3893,FALSE,2.0833333333333335,Legally Separated,Male,White or Other,23.25,High school,FALSE
3895,TRUE,1,Censored,Male,White or Other,40.166666666666664,College,FALSE
3897,TRUE,10.25,Censored,Female,White or Other,20.583333333333332,High school,FALSE
3898,TRUE,13.916666666666666,Censored,Male,White or Other,26.833333333333332,High school,FALSE
3899,TRUE,20.833333333333332,Censored,Female,White or Other,20.333333333333332,High school,FALSE
3900,FALSE,4.5,Divorced,Female,White or Other,20.75,High school,FALSE
3901,FALSE,0.9166666666666666,Divorced,Female,White or Other,29.666666666666668,High school,TRUE
3903,TRUE,10.25,Censored,Male,White or Other,21.333333333333332,High school,FALSE
3904,TRUE,14.833333333333334,Censored,Male,White or Other,26.083333333333332,High school,FALSE
3905,TRUE,21.083333333333332,Censored,Female,White or Other,19.916666666666668,High school,FALSE
3906,TRUE,8.666666666666666,Censored,Female,White or Other,28.833333333333332,College,FALSE
3907,TRUE,12.583333333333334,Censored,Female,White or Other,21,Less than high school,FALSE
3908,FALSE,3.9166666666666665,Divorced,Male,White or Other,25,High school,FALSE
3909,FALSE,8.333333333333334,Legally Separated,Female,White or Other,17.833333333333332,Less than high school,FALSE
3910,TRUE,1.8333333333333333,Censored,Male,White or Other,32.75,High school,FALSE
